nSub,nARC,thARC,T_mean,T_SD
1.50 ,3.00 ,0.80 ,0.5054066446141070 ,0.0162649732646723 
1.50 ,3.00 ,1.00 ,0.5307797440789180 ,0.0459515374119664 
1.75 ,1.00 ,0.00 ,0.9261682537231120 ,0.0002680681345443 
1.75 ,1.00 ,0.20 ,0.9265913165211580 ,0.0004374674652899 
1.75 ,1.00 ,0.40 ,0.9272698648699980 ,0.0006818429645588 
1.75 ,1.00 ,0.60 ,0.9256194098168040 ,0.0000009805989134 
1.75 ,1.00 ,0.80 ,0.9256204205877320 ,0.0000014287662222 
1.75 ,1.00 ,1.00 ,0.9256194452924990 ,0.0000008427773116 
1.75 ,1.25 ,0.00 ,0.9261682537161520 ,0.0002680681352450 
1.75 ,1.25 ,0.20 ,0.9283107068237970 ,0.0003093749690414 
1.75 ,1.25 ,0.40 ,0.9339755034264170 ,0.0013798628370499 
1.75 ,1.25 ,0.60 ,0.9391961761150870 ,0.0039535047753469 
1.75 ,1.25 ,0.80 ,0.9485133909221490 ,0.0063125279877516 
1.75 ,1.25 ,1.00 ,0.9589498037508640 ,0.0084530399711686 
1.75 ,1.50 ,0.00 ,0.9261682537200830 ,0.0002680681345894 
1.75 ,1.50 ,0.20 ,0.9287860930828230 ,0.0003676583918153 
1.75 ,1.50 ,0.40 ,0.9330436928289960 ,0.0022072530688379 
1.75 ,1.50 ,0.60 ,0.9414274535734350 ,0.0044537356293747 
1.75 ,1.50 ,0.80 ,0.9515505080566640 ,0.0066731159150016 
1.75 ,1.50 ,1.00 ,0.9619671072378020 ,0.0080697656181954 
1.75 ,1.75 ,0.00 ,0.9261682536443720 ,0.0002680681197064 
1.75 ,1.75 ,0.20 ,0.9270762577992710 ,0.0006131491793769 
1.75 ,1.75 ,0.40 ,0.9256191444961920 ,0.0000004644349043 
1.75 ,1.75 ,0.60 ,0.9256204125310130 ,0.0000017113625105 
1.75 ,1.75 ,0.80 ,0.9256220594191790 ,0.0000773279621649 
1.75 ,1.75 ,1.00 ,0.9256574136725990 ,0.0001260554445976 
1.75 ,2.00 ,0.00 ,0.9261682537140340 ,0.0002680681319809 
1.75 ,2.00 ,0.20 ,0.9220923634993390 ,0.0021547292950287 
1.75 ,2.00 ,0.40 ,0.9064785694923820 ,0.0053292631273063 
1.75 ,2.00 ,0.60 ,0.8880892581516710 ,0.0090734965802103 
1.75 ,2.00 ,0.80 ,0.8702467739948030 ,0.0107508680399272 
1.75 ,2.00 ,1.00 ,0.8572364168435180 ,0.0092237799338899 
1.75 ,2.25 ,0.00 ,0.9261682536205880 ,0.0002680681184609 
1.75 ,2.25 ,0.20 ,0.9127910872175010 ,0.0050223818458862 
1.75 ,2.25 ,0.40 ,0.8737496321679480 ,0.0136090191420558 
1.75 ,2.25 ,0.60 ,0.8301268657902020 ,0.0203070723485904 
1.75 ,2.25 ,0.80 ,0.7941396192119580 ,0.0199726540669441 
1.75 ,2.25 ,1.00 ,0.7743106943753070 ,0.0119882140817821 
1.75 ,2.50 ,0.00 ,0.9261682537229420 ,0.0002680681344754 
1.75 ,2.50 ,0.20 ,0.8981468011619060 ,0.0093282653364665 
1.75 ,2.50 ,0.40 ,0.8275243527597550 ,0.0237655249838764 
1.75 ,2.50 ,0.60 ,0.7576310909809400 ,0.0302705061396523 
1.75 ,2.50 ,0.80 ,0.7101895773102040 ,0.0236562463393417 
1.75 ,2.50 ,1.00 ,0.6944746292755530 ,0.0098801984995519 
1.75 ,2.75 ,0.00 ,0.9261682536442080 ,0.0002680681196205 
1.75 ,2.75 ,0.20 ,0.8774299829384370 ,0.0150762120259310 
1.75 ,2.75 ,0.40 ,0.7699900564592750 ,0.0340991066079393 
