nSub,nARC,thARC,T_mean,T_SD
2.25,2.25,0.4,0.852072423,6.95E-05
2.25,2.25,0.6,0.852142216,0.000272552
2.25,2.25,0.8,0.85222222,0.000428742
2.25,2.25,1,0.852270841,0.000716639
2.25,2.5,0,0.854026772,0.000772749
2.25,2.5,0.2,0.844580302,0.002226352
2.25,2.5,0.4,0.825822336,0.006946387
2.25,2.5,0.6,0.804346515,0.01017205
2.25,2.5,0.8,0.788230897,0.008765003
2.25,2.5,1,0.782478352,0.003543666
2.25,2.75,0,0.854026772,0.000772749
2.25,2.75,0.2,0.832802904,0.005610617
2.25,2.75,0.4,0.788294918,0.015556009
2.25,2.75,0.6,0.743937862,0.019090535
2.25,2.75,0.8,0.717722724,0.011993668
2.25,2.75,1,0.717056191,0.010614012
2.25,3,0,0.854026772,0.000772749
2.25,3,0.2,0.816172542,0.010176194
2.25,3,0.4,0.741112569,0.024563483
2.25,3,0.6,0.677394543,0.024866702
2.25,3,0.8,0.650116495,0.010646813
2.25,3,1,0.664940722,0.027028391
2.5,1,0,0.816326835,7.77E-07
2.5,1,0.2,0.816326263,9.77E-07
2.5,1,0.4,0.816326688,6.71E-07
2.5,1,0.6,0.816326864,6.47E-05
2.5,1,0.8,0.816329772,0.000142421
2.5,1,1,0.816355646,0.000155034
2.5,1.25,0,0.816326835,7.77E-07
2.5,1.25,0.2,0.819050549,0.000839552
2.5,1.25,0.4,0.827048902,0.003232632
2.5,1.25,0.6,0.839778756,0.006842572
2.5,1.25,0.8,0.856301456,0.011140696
2.5,1.25,1,0.875276974,0.015127076
2.5,1.5,0,0.816326835,7.78E-07
2.5,1.5,0.2,0.821488897,0.001590127
2.5,1.5,0.4,0.836588931,0.006080505
2.5,1.5,0.6,0.860373376,0.012712636
2.5,1.5,0.8,0.890496288,0.019802571
2.5,1.5,1,0.922873169,0.025419544
2.5,1.75,0,0.816326835,7.78E-07
2.5,1.75,0.2,0.823097126,0.002081031
2.5,1.75,0.4,0.842683192,0.007815447
2.5,1.75,0.6,0.872618441,0.0158638
2.5,1.75,0.8,0.908485351,0.022873913
2.5,1.75,1,0.942874317,0.02549155
2.5,2,0,0.816326835,7.77E-07
2.5,2,0.2,0.823243212,0.002118292
2.5,2,0.4,0.842817897,0.007681943
2.5,2,0.6,0.871369232,0.014372644
2.5,2,0.8,0.902116055,0.018631402
2.5,2,1,0.9267379,0.016350035
2.5,2.25,0,0.816326835,7.77E-07
2.5,2.25,0.2,0.821227149,0.00149062
2.5,2.25,0.4,0.8346158,0.005056149
2.5,2.25,0.6,0.852749149,0.008470361
2.5,2.25,0.8,0.869620268,0.009154041
2.5,2.25,1,0.879522571,0.006125625
2.5,2.5,0,0.816326835,7.77E-07
2.5,2.5,0.2,0.816329769,1.62E-05
2.5,2.5,0.4,0.816358075,0.000146673
2.5,2.5,0.6,0.816486013,0.000439961
2.5,2.5,0.8,0.816517269,0.000703095
2.5,2.5,1,0.816325288,2.14E-06
2.5,2.75,0,0.816326835,7.78E-07
2.5,2.75,0.2,0.807861288,0.002515768
2.5,2.75,0.4,0.787464936,0.007490861
2.5,2.75,0.6,0.765891819,0.009814229
2.5,2.75,0.8,0.752657352,0.006737447
2.5,2.75,1,0.752169014,0.005459659
2.5,3,0,0.816326835,7.78E-07
2.5,3,0.2,0.795237582,0.006121993
2.5,3,0.4,0.748702312,0.015936977
2.5,3,0.6,0.706455592,0.017169708
2.5,3,0.8,0.687495958,0.007088197
2.5,3,1,0.697772586,0.018479671
2.75,1,0,0.782221032,1.97E-07
2.75,1,0.2,0.782220693,4.44E-06
2.75,1,0.4,0.782226754,4.76E-05
2.75,1,0.6,0.782235705,0.000150191
2.75,1,0.8,0.78226324,0.000190727
2.75,1,1,0.782335024,0.000240128
2.75,1.25,0,0.782221032,1.97E-07
2.75,1.25,0.2,0.785137306,0.00088854
2.75,1.25,0.4,0.793700625,0.003414869
2.75,1.25,0.6,0.80739208,0.007262649
2.75,1.25,0.8,0.825274357,0.011811599
2.75,1.25,1,0.845754,0.016358858
2.75,1.5,0,0.782221032,1.97E-07
2.75,1.5,0.2,0.787952316,0.00173884
2.75,1.5,0.4,0.804790603,0.006759705
2.75,1.5,0.6,0.831552275,0.014190543
2.75,1.5,0.8,0.865701124,0.022601061
2.75,1.5,1,0.902948473,0.02931757
2.75,1.75,0,0.782221032,1.97E-07
2.75,1.75,0.2,0.790219305,0.002433163
2.75,1.75,0.4,0.813549274,0.009323666
